#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.07652e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.52456e-07 
 1.40        5.75400e+00        1.82125e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60003e-06 
 2.10        8.62971e+00        -1.75761e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67502e-05 
 2.80        1.15041e+01        -5.75324e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.96374e-05 
 3.50        1.43773e+01        -1.17346e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.85554e-04 
 4.20        1.72491e+01        -1.96318e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.34001e-04 
 4.90        2.01197e+01        -2.93758e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.24494e-04 
 5.60        2.29890e+01        -4.08976e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.56554e-04 
 6.30        2.58570e+01        -5.41288e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.02971e-03 
 7.00        2.87237e+01        -6.90013e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.34352e-03 
 7.70        3.15892e+01        -8.54476e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.69752e-03 
 8.40        3.44534e+01        -1.03400e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.09127e-03 
 9.10        3.73163e+01        -1.22793e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52435e-03 
 9.80        4.01779e+01        -1.43558e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.99634e-03 
 10.50        4.30383e+01        -1.65631e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.50681e-03 
 11.20        4.58974e+01        -1.88944e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.05537e-03 
 11.90        4.87552e+01        -2.13433e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.64161e-03 
 12.60        5.16117e+01        -2.39033e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.26514e-03 
 13.30        5.44670e+01        -2.65678e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.92559e-03 
 14.00        5.73210e+01        -2.93303e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.62257e-03 
 14.70        6.01737e+01        -3.21845e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.35571e-03 
 15.40        6.30252e+01        -3.51240e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.12466e-03 
 16.10        6.58754e+01        -3.81423e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.92904e-03 
