#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.41259e-05        0.00000e+00 
 1.40        4.11000e+00        1.65366e-04        0.00000e+00 
 2.10        4.10816e+00        -2.69156e-03        0.00000e+00 
 2.80        4.10632e+00        -5.44980e-03        0.00000e+00 
 3.50        4.10448e+00        -8.11001e-03        0.00000e+00 
 4.20        4.10265e+00        -1.06728e-02        0.00000e+00 
 4.90        4.10082e+00        -1.31388e-02        0.00000e+00 
 5.60        4.09899e+00        -1.55085e-02        0.00000e+00 
 6.30        4.09716e+00        -1.77825e-02        0.00000e+00 
 7.00        4.09534e+00        -1.99614e-02        0.00000e+00 
 7.70        4.09352e+00        -2.20456e-02        0.00000e+00 
 8.40        4.09170e+00        -2.40357e-02        0.00000e+00 
 9.10        4.08988e+00        -2.59322e-02        0.00000e+00 
 9.80        4.08806e+00        -2.77355e-02        0.00000e+00 
 10.50        4.08624e+00        -2.94461e-02        0.00000e+00 
 11.20        4.08443e+00        -3.10645e-02        0.00000e+00 
 11.90        4.08261e+00        -3.25910e-02        0.00000e+00 
 12.60        4.08080e+00        -3.40260e-02        0.00000e+00 
 13.30        4.07898e+00        -3.53701e-02        0.00000e+00 
 14.00        4.07717e+00        -3.66235e-02        0.00000e+00 
 14.70        4.07536e+00        -3.77867e-02        0.00000e+00 
 15.40        4.07354e+00        -3.88600e-02        0.00000e+00 
 16.10        4.07173e+00        -3.98437e-02        0.00000e+00 
 16.80        4.06991e+00        -4.07383e-02        0.00000e+00 
 17.50        4.06810e+00        -4.15440e-02        0.00000e+00 
 18.20        4.06628e+00        -4.22612e-02        0.00000e+00 
 18.90        4.06446e+00        -4.28902e-02        0.00000e+00 
 19.60        4.06264e+00        -4.34313e-02        0.00000e+00 
 20.30        4.06081e+00        -4.38849e-02        0.00000e+00 
