#Navio B MarAd
#Manobra de Curva de Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        5.88827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.28755e-05 
 0.70        -5.83100e-09        6.14325e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.26742e-05 
 1.40        -1.19431e-02        -1.87216e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.07407e-04 
 2.10        -1.19141e-02        -1.95029e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.00575e-04 
 2.80        -1.18971e-02        -2.02539e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.93963e-04 
 3.50        -1.18926e-02        -2.09752e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.87557e-04 
 4.20        -1.19008e-02        -2.16674e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.81344e-04 
 4.90        -1.19220e-02        -2.23309e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.75311e-04 
 5.60        -1.19565e-02        -2.29663e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.69446e-04 
 6.30        -1.20044e-02        -2.35741e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.63738e-04 
 7.00        -1.20657e-02        -2.41547e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.58176e-04 
 7.70        -1.21407e-02        -2.47084e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.52749e-04 
 8.40        -1.22294e-02        -2.52358e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.47447e-04 
 9.10        -1.23318e-02        -2.57371e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.42262e-04 
 9.80        -1.24479e-02        -2.62128e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.37184e-04 
 10.50        -1.25776e-02        -2.66632e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.32204e-04 
 11.20        -1.27210e-02        -2.70886e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.27315e-04 
 11.90        -1.28778e-02        -2.74894e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.22509e-04 
 12.60        -1.30481e-02        -2.78659e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.17780e-04 
 13.30        -1.32316e-02        -2.82184e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.13119e-04 
 14.00        -1.34281e-02        -2.85473e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.08522e-04 
 14.70        -1.36376e-02        -2.88528e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.03981e-04 
 15.40        -1.38597e-02        -2.91352e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.99492e-04 
 16.10        -1.40942e-02        -2.93949e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.95049e-04 
 16.80        -1.43408e-02        -2.96321e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.90647e-04 
 17.50        -1.45993e-02        -2.98472e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.86283e-04 
 18.20        -1.48694e-02        -3.00404e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.81951e-04 
 18.90        -1.51507e-02        -3.02121e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.77647e-04 
 19.60        -1.54429e-02        -3.03625e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.73370e-04 
