#Navio B MarAd
#Manobra de Curva de Giro
#
#Beta 
#
#temp      rot 
 0.00  -0.00
 0.70  -0.00
 1.40  -0.00
 2.10  0.00
 2.80  0.00
 3.50  0.00
 4.20  0.01
 4.90  0.01
 5.60  0.01
 6.30  0.01
 7.00  0.01
 7.70  0.02
 8.40  0.02
 9.10  0.02
 9.80  0.02
 10.50  0.03
 11.20  0.03
 11.90  0.03
 12.60  0.03
 13.30  0.03
 14.00  0.04
 14.70  0.04
 15.40  0.04
 16.10  0.05
 16.80  0.05
 17.50  0.05
 18.20  0.05
 18.90  0.06
 19.60  0.06
 20.30  0.06
 21.00  0.06
 21.70  0.07
 22.40  0.07
 23.10  0.07
 23.80  0.08
 24.50  0.08
 25.20  0.08
 25.90  0.08
 26.60  0.09
 27.30  0.09
 28.00  0.09
 28.70  0.10
 29.40  0.10
 30.10  0.10
 30.80  0.10
 31.50  0.11
 32.20  0.11
 32.90  0.11
 33.60  0.12
 34.30  0.12
 35.00  0.12
 35.70  0.12
 36.40  0.13
 37.10  0.13
 37.80  0.13
 38.50  0.14
 39.20  0.14
 39.90  0.14
 40.60  0.14
 41.30  0.15
 42.00  0.15
 42.70  0.15
 43.40  0.15
 44.10  0.16
 44.80  0.16
 45.50  0.16
 46.20  0.17
 46.90  0.17
 47.60  0.17
 48.30  0.17
 49.00  0.18
 49.70  0.18
 50.40  0.18
 51.10  0.18
 51.80  0.19
 52.50  0.19
 53.20  0.19
 53.90  0.19
 54.60  0.20
 55.30  0.20
 56.00  0.20
 56.70  0.20
 57.40  0.21
 58.10  0.21
 58.80  0.21
 59.50  0.21
 60.20  0.22
 60.90  0.22
 61.60  0.22
 62.30  0.22
 63.00  0.22
 63.70  0.23
 64.40  0.23
 65.10  0.23
 65.80  0.23
 66.50  0.24
 67.20  0.24
 67.90  0.24
 68.60  0.24
 69.30  0.24
 70.00  0.25
 70.70  0.25
 71.40  0.25
 72.10  0.25
 72.80  0.25
 73.50  0.26
 74.20  0.26
 74.90  0.26
 75.60  0.26
 76.30  0.26
 77.00  0.27
 77.70  0.27
 78.40  0.27
 79.10  0.27
 79.80  0.27
 80.50  0.27
 81.20  0.28
 81.90  0.28
 82.60  0.28
 83.30  0.28
 84.00  0.28
 84.70  0.28
