#Navio B MarAd
#Manobra de Curva de Giro
#
#eta 
#
#temp      rot 
 0.00  1.00
 0.70  1.00
 1.40  1.00
 2.10  1.00
 2.80  1.00
 3.50  1.00
 4.20  1.00
 4.90  1.01
 5.60  1.01
 6.30  1.01
 7.00  1.01
 7.70  1.01
 8.40  1.01
 9.10  1.01
 9.80  1.01
 10.50  1.01
 11.20  1.01
 11.90  1.02
 12.60  1.02
 13.30  1.02
 14.00  1.02
 14.70  1.02
 15.40  1.02
 16.10  1.02
 16.80  1.02
 17.50  1.03
 18.20  1.03
 18.90  1.03
 19.60  1.03
 20.30  1.03
 21.00  1.03
 21.70  1.03
 22.40  1.04
 23.10  1.04
 23.80  1.04
 24.50  1.04
 25.20  1.04
 25.90  1.04
 26.60  1.04
 27.30  1.05
 28.00  1.05
 28.70  1.05
 29.40  1.05
 30.10  1.05
 30.80  1.06
 31.50  1.06
 32.20  1.06
 32.90  1.06
 33.60  1.06
 34.30  1.07
 35.00  1.07
 35.70  1.07
 36.40  1.07
 37.10  1.08
 37.80  1.08
 38.50  1.08
 39.20  1.08
 39.90  1.09
 40.60  1.09
 41.30  1.09
 42.00  1.09
 42.70  1.10
 43.40  1.10
 44.10  1.10
 44.80  1.11
 45.50  1.11
 46.20  1.11
 46.90  1.12
 47.60  1.12
 48.30  1.12
 49.00  1.13
 49.70  1.13
 50.40  1.13
 51.10  1.14
 51.80  1.14
 52.50  1.14
 53.20  1.15
 53.90  1.15
 54.60  1.15
 55.30  1.16
 56.00  1.16
 56.70  1.17
 57.40  1.17
 58.10  1.17
 58.80  1.18
 59.50  1.18
 60.20  1.19
 60.90  1.19
 61.60  1.20
 62.30  1.20
 63.00  1.20
 63.70  1.21
 64.40  1.21
 65.10  1.22
 65.80  1.22
 66.50  1.23
 67.20  1.23
 67.90  1.24
 68.60  1.24
 69.30  1.25
 70.00  1.25
 70.70  1.26
 71.40  1.26
 72.10  1.27
 72.80  1.27
 73.50  1.28
 74.20  1.28
 74.90  1.29
 75.60  1.29
 76.30  1.30
 77.00  1.31
 77.70  1.31
 78.40  1.32
 79.10  1.32
 79.80  1.33
 80.50  1.33
 81.20  1.34
 81.90  1.35
 82.60  1.35
 83.30  1.36
 84.00  1.36
 84.70  1.37
 85.40  1.38
 86.10  1.38
 86.80  1.39
 87.50  1.39
 88.20  1.40
 88.90  1.41
 89.60  1.41
 90.30  1.42
 91.00  1.43
 91.70  1.43
 92.40  1.44
 93.10  1.44
 93.80  1.45
 94.50  1.46
 95.20  1.46
 95.90  1.47
 96.60  1.48
 97.30  1.48
 98.00  1.49
 98.70  1.50
 99.40  1.50
 100.10  1.51
 100.80  1.52
 101.50  1.52
 102.20  1.53
 102.90  1.54
 103.60  1.55
 104.30  1.55
 105.00  1.56
 105.70  1.57
 106.40  1.57
 107.10  1.58
 107.80  1.59
 108.50  1.59
 109.20  1.60
 109.90  1.61
 110.60  1.62
 111.30  1.62
 112.00  1.63
 112.70  1.64
 113.40  1.64
 114.10  1.65
 114.80  1.66
 115.50  1.67
 116.20  1.67
 116.90  1.68
 117.60  1.69
 118.30  1.70
 119.00  1.70
 119.70  1.71
 120.40  1.72
 121.10  1.72
 121.80  1.73
 122.50  1.74
 123.20  1.75
 123.90  1.75
 124.60  1.76
 125.30  1.77
 126.00  1.78
 126.70  1.78
 127.40  1.79
 128.10  1.80
 128.80  1.81
 129.50  1.81
 130.20  1.82
 130.90  1.83
 131.60  1.84
 132.30  1.84
 133.00  1.85
 133.70  1.86
 134.40  1.87
 135.10  1.87
 135.80  1.88
 136.50  1.89
 137.20  1.90
 137.90  1.91
 138.60  1.91
 139.30  1.92
 140.00  1.93
 140.70  1.94
 141.40  1.94
 142.10  1.95
 142.80  1.96
 143.50  1.97
 144.20  1.97
 144.90  1.98
 145.60  1.99
 146.30  2.00
 147.00  2.00
 147.70  2.01
 148.40  2.02
 149.10  2.03
 149.80  2.03
 150.50  2.04
 151.20  2.05
 151.90  2.06
 152.60  2.07
 153.30  2.07
 154.00  2.08
 154.70  2.09
 155.40  2.10
 156.10  2.10
 156.80  2.11
 157.50  2.12
 158.20  2.13
 158.90  2.13
 159.60  2.14
 160.30  2.15
 161.00  2.16
 161.70  2.16
 162.40  2.17
 163.10  2.18
 163.80  2.19
 164.50  2.19
 165.20  2.20
 165.90  2.21
 166.60  2.22
 167.30  2.22
