#Navio B MarAd
#Manobra de Curva de Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        5.76100e+00        2.88525e-04        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 1.40        1.15220e+01        8.78070e-04        0.00000e+00        0.00000e+00        0.00000e+00        -6.30900e-06 
 2.10        1.72771e+01        -7.74228e-03        0.00000e+00        0.00000e+00        0.00000e+00        -1.88284e-05 
 2.80        2.30265e+01        -2.59910e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.68282e-04 
 3.50        2.87699e+01        -5.30893e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.51673e-04 
 4.20        3.45076e+01        -8.82666e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.12811e-03 
 4.90        4.02395e+01        -1.30760e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89444e-03 
 5.60        4.59656e+01        -1.79814e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.84764e-03 
 6.30        5.16859e+01        -2.34681e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.98474e-03 
 7.00        5.74004e+01        -2.94617e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.30286e-03 
 7.70        6.31091e+01        -3.58888e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.79922e-03 
 8.40        6.88121e+01        -4.26763e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.47108e-03 
 9.10        7.45093e+01        -4.97520e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.03158e-02 
 9.80        8.02007e+01        -5.70440e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.23308e-02 
 10.50        8.58863e+01        -6.44810e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.45134e-02 
 11.20        9.15661e+01        -7.19924e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.68613e-02 
 11.90        9.72400e+01        -7.95078e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.93720e-02 
 12.60        1.02908e+02        -8.69576e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.20430e-02 
 13.30        1.08570e+02        -9.42727e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.48721e-02 
 14.00        1.14226e+02        -1.01384e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.78569e-02 
 14.70        1.19877e+02        -1.08224e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.09951e-02 
 15.40        1.25521e+02        -1.14725e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.42845e-02 
