#Navio B MarAd
#Manobra de Curva de Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        8.23000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        8.23000e+00        4.12179e-04        0.00000e+00        0.00000e+00        0.00000e+00        -9.01286e-06 
 1.40        8.23000e+00        8.42206e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.78848e-05 
 2.10        8.22164e+00        -1.22629e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.67300e-04 
 2.80        8.21330e+00        -2.59149e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.47702e-04 
 3.50        8.20497e+00        -4.00926e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.23477e-04 
 4.20        8.19665e+00        -5.47752e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.09477e-03 
 4.90        8.18832e+00        -6.99424e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.36171e-03 
 5.60        8.17997e+00        -8.55740e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.62442e-03 
 6.30        8.17160e+00        -1.01650e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.88304e-03 
 7.00        8.16320e+00        -1.18152e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.13765e-03 
 7.70        8.15475e+00        -1.35061e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.38838e-03 
 8.40        8.14625e+00        -1.52357e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.63530e-03 
 9.10        8.13769e+00        -1.70022e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87851e-03 
 9.80        8.12906e+00        -1.88038e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.11810e-03 
 10.50        8.12035e+00        -2.06386e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.35413e-03 
 11.20        8.11154e+00        -2.25051e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.58667e-03 
 11.90        8.10264e+00        -2.44013e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.81579e-03 
 12.60        8.09362e+00        -2.63255e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.04155e-03 
 13.30        8.08449e+00        -2.82761e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.26399e-03 
 14.00        8.07523e+00        -3.02514e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.48318e-03 
 14.70        8.06583e+00        -3.22497e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.69914e-03 
 15.40        8.05628e+00        -3.42694e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.91193e-03 
 16.10        8.04658e+00        -3.63089e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.12157e-03 
 16.80        8.03671e+00        -3.83665e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.32811e-03 
 17.50        8.02668e+00        -4.04408e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.53156e-03 
 18.20        8.01646e+00        -4.25301e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.73196e-03 
 18.90        8.00605e+00        -4.46329e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.92932e-03 
 19.60        7.99544e+00        -4.67478e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.12368e-03 
 20.30        7.98463e+00        -4.88731e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.31503e-03 
 21.00        7.97361e+00        -5.10076e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.50341e-03 
 21.70        7.96237e+00        -5.31497e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.68883e-03 
 22.40        7.95090e+00        -5.52979e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.87129e-03 
 23.10        7.93920e+00        -5.74510e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.05080e-03 
 23.80        7.92727e+00        -5.96075e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.22738e-03 
 24.50        7.91508e+00        -6.17661e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.40103e-03 
 25.20        7.90265e+00        -6.39255e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.57176e-03 
 25.90        7.88996e+00        -6.60843e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.73957e-03 
 26.60        7.87701e+00        -6.82413e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.90447e-03 
 27.30        7.86380e+00        -7.03953e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.06646e-03 
 28.00        7.85031e+00        -7.25449e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.22554e-03 
 28.70        7.83655e+00        -7.46891e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.38171e-03 
 29.40        7.82252e+00        -7.68267e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.53499e-03 
 30.10        7.80820e+00        -7.89564e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.68536e-03 
 30.80        7.79360e+00        -8.10773e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.83283e-03 
 31.50        7.77871e+00        -8.31882e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.97741e-03 
 32.20        7.76354e+00        -8.52880e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.11910e-03 
 32.90        7.74807e+00        -8.73758e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.25790e-03 
 33.60        7.73231e+00        -8.94506e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.39380e-03 
 34.30        7.71626e+00        -9.15113e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.52683e-03 
 35.00        7.69992e+00        -9.35571e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.65698e-03 
 35.70        7.68327e+00        -9.55870e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.78425e-03 
 36.40        7.66634e+00        -9.76003e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.90865e-03 
