#Navio B MarAd
#Manobra de Curva de Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        8.23000e+00        0.00000e+00        0.00000e+00 
 0.70        8.23000e+00        4.12179e-04        0.00000e+00 
 1.40        8.23000e+00        7.90283e-04        0.00000e+00 
 2.10        8.22164e+00        -1.24177e-02        0.00000e+00 
 2.80        8.21330e+00        -2.45328e-02        0.00000e+00 
 3.50        8.20499e+00        -3.55661e-02        0.00000e+00 
 4.20        8.19670e+00        -4.55285e-02        0.00000e+00 
 4.90        8.18843e+00        -5.44300e-02        0.00000e+00 
 5.60        8.18018e+00        -6.22801e-02        0.00000e+00 
 6.30        8.17194e+00        -6.90881e-02        0.00000e+00 
 7.00        8.16371e+00        -7.48626e-02        0.00000e+00 
 7.70        8.15548e+00        -7.96120e-02        0.00000e+00 
 8.40        8.14725e+00        -8.33443e-02        0.00000e+00 
 9.10        8.13901e+00        -8.60672e-02        0.00000e+00 
 9.80        8.13076e+00        -8.77883e-02        0.00000e+00 
 10.50        8.12249e+00        -8.85148e-02        0.00000e+00 
 11.20        8.11418e+00        -8.82539e-02        0.00000e+00 
 11.90        8.10585e+00        -8.70126e-02        0.00000e+00 
 12.60        8.09746e+00        -8.47977e-02        0.00000e+00 
 13.30        8.08902e+00        -8.16163e-02        0.00000e+00 
 14.00        8.08052e+00        -7.74751e-02        0.00000e+00 
 14.70        8.07195e+00        -7.23811e-02        0.00000e+00 
 15.40        8.06329e+00        -6.63412e-02        0.00000e+00 
 16.10        8.05455e+00        -5.93625e-02        0.00000e+00 
 16.80        8.04570e+00        -5.14521e-02        0.00000e+00 
 17.50        8.03674e+00        -4.26174e-02        0.00000e+00 
 18.20        8.02766e+00        -3.28659e-02        0.00000e+00 
 18.90        8.01845e+00        -2.22051e-02        0.00000e+00 
 19.60        8.00909e+00        -1.06432e-02        0.00000e+00 
 20.30        7.99958e+00        1.81167e-03        0.00000e+00 
 21.00        7.98989e+00        1.51511e-02        0.00000e+00 
 21.70        7.98003e+00        2.93663e-02        0.00000e+00 
 22.40        7.96999e+00        4.44481e-02        0.00000e+00 
 23.10        7.95973e+00        6.03872e-02        0.00000e+00 
 23.80        7.94927e+00        7.71737e-02        0.00000e+00 
 24.50        7.93858e+00        9.47975e-02        0.00000e+00 
 25.20        7.92765e+00        1.13248e-01        0.00000e+00 
 25.90        7.91648e+00        1.32514e-01        0.00000e+00 
 26.60        7.90504e+00        1.52585e-01        0.00000e+00 
 27.30        7.89334e+00        1.73449e-01        0.00000e+00 
 28.00        7.88135e+00        1.95093e-01        0.00000e+00 
 28.70        7.86906e+00        2.17505e-01        0.00000e+00 
 29.40        7.85647e+00        2.40672e-01        0.00000e+00 
 30.10        7.84356e+00        2.64581e-01        0.00000e+00 
 30.80        7.83032e+00        2.89218e-01        0.00000e+00 
 31.50        7.81674e+00        3.14568e-01        0.00000e+00 
 32.20        7.80281e+00        3.40616e-01        0.00000e+00 
 32.90        7.78853e+00        3.67349e-01        0.00000e+00 
 33.60        7.77387e+00        3.94750e-01        0.00000e+00 
 34.30        7.75882e+00        4.22802e-01        0.00000e+00 
 35.00        7.74339e+00        4.51491e-01        0.00000e+00 
 35.70        7.72756e+00        4.80800e-01        0.00000e+00 
