#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        5.88827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.28755e-05 
 0.70        -5.83100e-09        6.14325e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.26742e-05 
 1.40        -3.89981e-03        -1.04241e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.27454e-04 
 2.10        -3.89286e-03        -1.08695e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.23810e-04 
 2.80        -3.88965e-03        -1.13012e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.20309e-04 
 3.50        -3.89032e-03        -1.17197e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.16943e-04 
 4.20        -3.89497e-03        -1.21252e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.13706e-04 
 4.90        -3.90371e-03        -1.25181e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.10591e-04 
 5.60        -3.91662e-03        -1.28986e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.07593e-04 
 6.30        -3.93379e-03        -1.32671e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.04706e-04 
 7.00        -3.95528e-03        -1.36238e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.01924e-04 
 7.70        -3.98116e-03        -1.39690e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.99241e-04 
 8.40        -4.01148e-03        -1.43030e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.96653e-04 
 9.10        -4.04630e-03        -1.46259e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.94155e-04 
 9.80        -4.08564e-03        -1.49380e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.91741e-04 
 10.50        -4.12954e-03        -1.52395e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.89407e-04 
 11.20        -4.17804e-03        -1.55305e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.87149e-04 
 11.90        -4.23116e-03        -1.58114e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.84962e-04 
 12.60        -4.28890e-03        -1.60822e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.82842e-04 
 13.30        -4.35128e-03        -1.63431e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.80786e-04 
 14.00        -4.41831e-03        -1.65944e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.78789e-04 
 14.70        -4.48999e-03        -1.68360e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.76848e-04 
 15.40        -4.56631e-03        -1.70683e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.74960e-04 
 16.10        -4.64727e-03        -1.72913e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.73120e-04 
 16.80        -4.73284e-03        -1.75052e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71326e-04 
 17.50        -4.82301e-03        -1.77100e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.69575e-04 
 18.20        -4.91777e-03        -1.79060e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.67863e-04 
 18.90        -5.01708e-03        -1.80932e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.66189e-04 
 19.60        -5.12091e-03        -1.82717e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.64548e-04 
