#Navio B MarAd
#Manobra de Curva             de Zig-Zag
#
#eta 
#
#temp      rot 
 0.00  1.00
 0.70  1.00
 1.40  1.00
 2.10  1.00
 2.80  1.00
 3.50  1.00
 4.20  1.00
 4.90  1.00
 5.60  1.00
 6.30  1.00
 7.00  1.00
 7.70  1.00
 8.40  1.00
 9.10  1.00
 9.80  1.00
 10.50  1.00
 11.20  1.00
 11.90  1.01
 12.60  1.01
 13.30  1.01
 14.00  1.01
 14.70  1.01
 15.40  1.01
 16.10  1.01
 16.80  1.01
 17.50  1.01
 18.20  1.01
 18.90  1.01
 19.60  1.01
 20.30  1.01
 21.00  1.01
 21.70  1.01
 22.40  1.01
 23.10  1.01
 23.80  1.01
 24.50  1.01
 25.20  1.01
 25.90  1.01
 26.60  1.01
 27.30  1.01
 28.00  1.02
 28.70  1.02
 29.40  1.02
 30.10  1.02
 30.80  1.02
 31.50  1.02
 32.20  1.02
 32.90  1.02
 33.60  1.02
 34.30  1.02
 35.00  1.02
 35.70  1.02
 36.40  1.02
 37.10  1.02
 37.80  1.03
 38.50  1.03
 39.20  1.03
 39.90  1.03
 40.60  1.03
 41.30  1.03
 42.00  1.03
 42.70  1.03
 43.40  1.03
 44.10  1.03
 44.80  1.03
 45.50  1.04
 46.20  1.04
 46.90  1.04
 47.60  1.04
 48.30  1.04
 49.00  1.04
 49.70  1.04
 50.40  1.04
 51.10  1.04
 51.80  1.05
 52.50  1.05
 53.20  1.05
 53.90  1.05
 54.60  1.05
 55.30  1.05
 56.00  1.05
 56.70  1.05
 57.40  1.06
 58.10  1.06
 58.80  1.06
 59.50  1.06
 60.20  1.06
 60.90  1.06
 61.60  1.07
 62.30  1.07
 63.00  1.07
 63.70  1.07
 64.40  1.07
 65.10  1.07
 65.80  1.08
 66.50  1.08
 67.20  1.08
 67.90  1.08
 68.60  1.08
 69.30  1.08
 70.00  1.09
 70.70  1.09
 71.40  1.09
 72.10  1.09
 72.80  1.09
 73.50  1.09
 74.20  1.10
 74.90  1.10
 75.60  1.10
 76.30  1.10
 77.00  1.10
 77.70  1.10
 78.40  1.10
 79.10  1.11
 79.80  1.11
 80.50  1.11
 81.20  1.11
 81.90  1.11
 82.60  1.11
 83.30  1.11
 84.00  1.11
 84.70  1.11
 85.40  1.11
 86.10  1.12
 86.80  1.12
 87.50  1.12
 88.20  1.12
 88.90  1.12
 89.60  1.12
 90.30  1.12
 91.00  1.12
 91.70  1.12
 92.40  1.12
 93.10  1.12
 93.80  1.12
 94.50  1.12
 95.20  1.12
 95.90  1.12
 96.60  1.13
 97.30  1.13
 98.00  1.13
 98.70  1.13
 99.40  1.13
 100.10  1.13
 100.80  1.13
 101.50  1.13
 102.20  1.13
 102.90  1.13
 103.60  1.13
 104.30  1.13
 105.00  1.13
 105.70  1.13
 106.40  1.13
 107.10  1.13
 107.80  1.13
 108.50  1.13
 109.20  1.13
 109.90  1.13
 110.60  1.13
 111.30  1.13
 112.00  1.13
 112.70  1.13
 113.40  1.13
 114.10  1.13
 114.80  1.13
 115.50  1.13
 116.20  1.13
 116.90  1.13
 117.60  1.13
 118.30  1.13
 119.00  1.13
 119.70  1.13
 120.40  1.13
 121.10  1.13
 121.80  1.13
 122.50  1.13
 123.20  1.13
 123.90  1.13
 124.60  1.13
 125.30  1.13
 126.00  1.13
 126.70  1.13
 127.40  1.13
 128.10  1.13
 128.80  1.13
 129.50  1.13
 130.20  1.13
 130.90  1.13
 131.60  1.13
 132.30  1.13
 133.00  1.13
 133.70  1.13
 134.40  1.13
 135.10  1.13
 135.80  1.13
 136.50  1.13
 137.20  1.13
 137.90  1.13
 138.60  1.13
 139.30  1.13
 140.00  1.13
 140.70  1.13
 141.40  1.13
 142.10  1.14
 142.80  1.14
 143.50  1.14
 144.20  1.14
 144.90  1.14
 145.60  1.14
 146.30  1.14
 147.00  1.14
 147.70  1.14
 148.40  1.14
 149.10  1.14
 149.80  1.14
 150.50  1.14
 151.20  1.14
 151.90  1.14
 152.60  1.14
 153.30  1.14
 154.00  1.14
 154.70  1.14
 155.40  1.14
 156.10  1.14
 156.80  1.14
 157.50  1.14
 158.20  1.14
 158.90  1.14
 159.60  1.14
 160.30  1.14
 161.00  1.14
 161.70  1.14
 162.40  1.14
 163.10  1.14
 163.80  1.14
 164.50  1.14
 165.20  1.14
 165.90  1.14
 166.60  1.14
 167.30  1.14
