#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#Valor do leme em rad
#temp     leme 
 0.00  0.00
 0.70  0.00
 1.40  -0.35
 2.10  -0.35
 2.80  -0.35
 3.50  -0.35
 4.20  -0.35
 4.90  -0.35
 5.60  -0.35
 6.30  -0.35
 7.00  -0.35
 7.70  -0.35
 8.40  -0.35
 9.10  -0.35
 9.80  -0.35
 10.50  -0.35
 11.20  -0.35
 11.90  -0.35
 12.60  -0.35
 13.30  -0.35
 14.00  -0.35
 14.70  -0.35
 15.40  -0.35
 16.10  -0.35
 16.80  -0.35
 17.50  -0.35
 18.20  -0.35
 18.90  -0.35
 19.60  -0.35
 20.30  -0.35
 21.00  -0.35
 21.70  -0.35
 22.40  -0.35
 23.10  -0.35
 23.80  -0.35
 24.50  -0.35
 25.20  -0.35
 25.90  -0.35
 26.60  -0.35
 27.30  -0.35
 28.00  -0.35
 28.70  -0.35
 29.40  -0.35
 30.10  -0.35
 30.80  -0.35
 31.50  -0.35
 32.20  -0.35
 32.90  -0.35
 33.60  -0.35
 34.30  -0.35
 35.00  -0.35
 35.70  -0.35
 36.40  -0.35
 37.10  -0.35
 37.80  -0.35
 38.50  -0.35
 39.20  -0.35
 39.90  -0.35
 40.60  -0.35
 41.30  -0.35
 42.00  -0.35
 42.70  -0.35
 43.40  -0.35
 44.10  -0.35
 44.80  -0.35
 45.50  -0.35
 46.20  -0.35
 46.90  -0.35
 47.60  -0.35
 48.30  -0.35
 49.00  -0.35
 49.70  -0.35
 50.40  -0.35
 51.10  -0.35
 51.80  -0.35
 52.50  -0.35
 53.20  -0.35
 53.90  -0.35
 54.60  -0.35
 55.30  -0.35
 56.00  -0.35
 56.70  -0.35
 57.40  -0.35
 58.10  -0.35
 58.80  -0.35
 59.50  -0.35
 60.20  -0.35
 60.90  -0.35
 61.60  -0.35
 62.30  -0.35
 63.00  -0.35
 63.70  -0.35
 64.40  -0.35
 65.10  -0.35
 65.80  -0.35
 66.50  -0.35
 67.20  -0.35
 67.90  -0.35
 68.60  0.35
 69.30  0.35
 70.00  0.35
 70.70  0.35
 71.40  0.35
 72.10  0.35
 72.80  0.35
 73.50  0.35
 74.20  0.35
 74.90  0.35
 75.60  0.35
 76.30  0.35
 77.00  0.35
