#Navio B MarAd
#Manobra de Curva                    de Zig-Zag
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        5.76100e+00        2.88525e-04        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 1.40        1.15220e+01        8.78070e-04        0.00000e+00        0.00000e+00        0.00000e+00        -6.30900e-06 
 2.10        1.72811e+01        -3.67653e-03        0.00000e+00        0.00000e+00        0.00000e+00        -1.88284e-05 
 2.80        2.30383e+01        -1.36292e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.01049e-05 
 3.50        2.87935e+01        -2.85501e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.88705e-04 
 4.20        3.45469e+01        -4.80136e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.05257e-04 
 4.90        4.02984e+01        -7.15984e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.02811e-03 
 5.60        4.60480e+01        -9.88870e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.55568e-03 
 6.30        5.17957e+01        -1.29466e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.18644e-03 
 7.00        5.75414e+01        -1.62924e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.91892e-03 
 7.70        6.32853e+01        -1.98855e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.75171e-03 
 8.40        6.90273e+01        -2.36854e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.68343e-03 
 9.10        7.47674e+01        -2.76521e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.71279e-03 
 9.80        8.05056e+01        -3.17458e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.83851e-03 
 10.50        8.62419e+01        -3.59268e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.05936e-03 
 11.20        9.19763e+01        -4.01558e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.37417e-03 
 11.90        9.77087e+01        -4.43937e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.07818e-02 
 12.60        1.03439e+02        -4.86017e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.22811e-02 
 13.30        1.09168e+02        -5.27410e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38711e-02 
 14.00        1.14894e+02        -5.67732e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.55506e-02 
 14.70        1.20619e+02        -6.06600e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73187e-02 
 15.40        1.26342e+02        -6.43632e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.91745e-02 
