#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#Rotações do propulsor
#
#temp      rot
 0.00  1.42
 0.70  1.42
 1.40  1.42
 2.10  1.42
 2.80  1.42
 3.50  1.42
 4.20  1.42
 4.90  1.42
 5.60  1.42
 6.30  1.42
 7.00  1.42
 7.70  1.42
 8.40  1.42
 9.10  1.42
 9.80  1.42
 10.50  1.42
 11.20  1.42
 11.90  1.42
 12.60  1.42
 13.30  1.42
 14.00  1.42
 14.70  1.42
 15.40  1.42
 16.10  1.42
 16.80  1.42
 17.50  1.42
 18.20  1.42
 18.90  1.42
 19.60  1.42
 20.30  1.42
 21.00  1.42
 21.70  1.42
 22.40  1.42
 23.10  1.42
 23.80  1.42
 24.50  1.42
 25.20  1.42
 25.90  1.42
 26.60  1.42
 27.30  1.42
 28.00  1.42
 28.70  1.42
 29.40  1.42
 30.10  1.42
 30.80  1.42
 31.50  1.42
 32.20  1.42
 32.90  1.42
 33.60  1.42
 34.30  1.42
 35.00  1.42
 35.70  1.42
 36.40  1.42
 37.10  1.42
 37.80  1.42
 38.50  1.42
 39.20  1.42
 39.90  1.42
 40.60  1.42
 41.30  1.42
 42.00  1.42
 42.70  1.42
 43.40  1.42
 44.10  1.42
 44.80  1.42
 45.50  1.42
 46.20  1.42
 46.90  1.42
 47.60  1.42
 48.30  1.42
 49.00  1.42
 49.70  1.42
 50.40  1.42
 51.10  1.42
 51.80  1.42
 52.50  1.42
 53.20  1.42
 53.90  1.42
 54.60  1.42
 55.30  1.42
 56.00  1.42
 56.70  1.42
 57.40  1.42
 58.10  1.42
 58.80  1.42
 59.50  1.42
 60.20  1.42
 60.90  1.42
 61.60  1.42
 62.30  1.42
 63.00  1.42
 63.70  1.42
 64.40  1.42
 65.10  1.42
 65.80  1.42
 66.50  1.42
 67.20  1.42
 67.90  1.42
 68.60  1.42
 69.30  1.42
 70.00  1.42
 70.70  1.42
 71.40  1.42
 72.10  1.42
 72.80  1.42
 73.50  1.42
 74.20  1.42
 74.90  1.42
 75.60  1.42
 76.30  1.42
 77.00  1.42
 77.70  1.42
 78.40  1.42
 79.10  1.42
 79.80  1.42
 80.50  1.42
 81.20  1.42
 81.90  1.42
 82.60  1.42
 83.30  1.42
 84.00  1.42
 84.70  1.42
 85.40  1.42
 86.10  1.42
 86.80  1.42
 87.50  1.42
 88.20  1.42
 88.90  1.42
 89.60  1.42
 90.30  1.42
 91.00  1.42
 91.70  1.42
 92.40  1.42
 93.10  1.42
 93.80  1.42
 94.50  1.42
 95.20  1.42
 95.90  1.42
 96.60  1.42
 97.30  1.42
 98.00  1.42
 98.70  1.42
 99.40  1.42
 100.10  1.42
 100.80  1.42
 101.50  1.42
 102.20  1.42
 102.90  1.42
 103.60  1.42
 104.30  1.42
 105.00  1.42
 105.70  1.42
 106.40  1.42
 107.10  1.42
 107.80  1.42
 108.50  1.42
 109.20  1.42
 109.90  1.42
 110.60  1.42
 111.30  1.42
 112.00  1.42
 112.70  1.42
 113.40  1.42
 114.10  1.42
 114.80  1.42
 115.50  1.42
 116.20  1.42
 116.90  1.42
 117.60  1.42
 118.30  1.42
 119.00  1.42
 119.70  1.42
 120.40  1.42
 121.10  1.42
 121.80  1.42
 122.50  1.42
 123.20  1.42
 123.90  1.42
 124.60  1.42
 125.30  1.42
 126.00  1.42
 126.70  1.42
 127.40  1.42
 128.10  1.42
 128.80  1.42
 129.50  1.42
 130.20  1.42
 130.90  1.42
 131.60  1.42
 132.30  1.42
 133.00  1.42
 133.70  1.42
 134.40  1.42
 135.10  1.42
 135.80  1.42
 136.50  1.42
 137.20  1.42
 137.90  1.42
 138.60  1.42
 139.30  1.42
 140.00  1.42
 140.70  1.42
 141.40  1.42
 142.10  1.42
 142.80  1.42
 143.50  1.42
 144.20  1.42
 144.90  1.42
 145.60  1.42
 146.30  1.42
 147.00  1.42
 147.70  1.42
 148.40  1.42
 149.10  1.42
 149.80  1.42
 150.50  1.42
 151.20  1.42
 151.90  1.42
 152.60  1.42
 153.30  1.42
 154.00  1.42
 154.70  1.42
 155.40  1.42
 156.10  1.42
 156.80  1.42
 157.50  1.42
 158.20  1.42
 158.90  1.42
 159.60  1.42
 160.30  1.42
 161.00  1.42
 161.70  1.42
 162.40  1.42
 163.10  1.42
 163.80  1.42
 164.50  1.42
 165.20  1.42
 165.90  1.42
 166.60  1.42
 167.30  1.42
 168.00  1.42
 168.70  1.42
 169.40  1.42
 170.10  1.42
 170.80  1.42
 171.50  1.42
 172.20  1.42
 172.90  1.42
 173.60  1.42
 174.30  1.42
 175.00  1.42
 175.70  1.42
 176.40  1.42
 177.10  1.42
 177.80  1.42
 178.50  1.42
 179.20  1.42
 179.90  1.42
 180.60  1.42
 181.30  1.42
 182.00  1.42
 182.70  1.42
 183.40  1.42
 184.10  1.42
 184.80  1.42
 185.50  1.42
 186.20  1.42
 186.90  1.42
 187.60  1.42
 188.30  1.42
 189.00  1.42
 189.70  1.42
 190.40  1.42
 191.10  1.42
 191.80  1.42
 192.50  1.42
 193.20  1.42
 193.90  1.42
 194.60  1.42
 195.30  1.42
 196.00  1.42
 196.70  1.42
 197.40  1.42
 198.10  1.42
 198.80  1.42
 199.50  1.42
 200.20  1.42
 200.90  1.42
 201.60  1.42
 202.30  1.42
 203.00  1.42
 203.70  1.42
 204.40  1.42
 205.10  1.42
 205.80  1.42
 206.50  1.42
 207.20  1.42
 207.90  1.42
 208.60  1.42
 209.30  1.42
 210.00  1.42
 210.70  1.42
 211.40  1.42
 212.10  1.42
 212.80  1.42
 213.50  1.42
 214.20  1.42
 214.90  1.42
 215.60  1.42
 216.30  1.42
 217.00  1.42
 217.70  1.42
 218.40  1.42
 219.10  1.42
 219.80  1.42
 220.50  1.42
 221.20  1.42
 221.90  1.42
 222.60  1.42
 223.30  1.42
 224.00  1.42
 224.70  1.42
 225.40  1.42
 226.10  1.42
 226.80  1.42
 227.50  1.42
 228.20  1.42
 228.90  1.42
 229.60  1.42
 230.30  1.42
 231.00  1.42
 231.70  1.42
 232.40  1.42
 233.10  1.42
 233.80  1.42
 234.50  1.42
 235.20  1.42
 235.90  1.42
 236.60  1.42
 237.30  1.42
 238.00  1.42
 238.70  1.42
 239.40  1.42
 240.10  1.42
 240.80  1.42
 241.50  1.42
 242.20  1.42
 242.90  1.42
 243.60  1.42
 244.30  1.42
 245.00  1.42
 245.70  1.42
 246.40  1.42
 247.10  1.42
 247.80  1.42
 248.50  1.42
 249.20  1.42
 249.90  1.42
 250.60  1.42
 251.30  1.42
 252.00  1.42
 252.70  1.42
 253.40  1.42
 254.10  1.42
 254.80  1.42
 255.50  1.42
 256.20  1.42
 256.90  1.42
 257.60  1.42
 258.30  1.42
 259.00  1.42
 259.70  1.42
 260.40  1.42
 261.10  1.42
 261.80  1.42
 262.50  1.42
 263.20  1.42
 263.90  1.42
 264.60  1.42
 265.30  1.42
 266.00  1.42
 266.70  1.42
 267.40  1.42
 268.10  1.42
 268.80  1.42
 269.50  1.42
 270.20  1.42
 270.90  1.42
 271.60  1.42
 272.30  1.42
 273.00  1.42
 273.70  1.42
 274.40  1.42
 275.10  1.42
 275.80  1.42
 276.50  1.42
 277.20  1.42
 277.90  1.42
 278.60  1.42
 279.30  1.42
 280.00  1.42
 280.70  1.42
 281.40  1.42
 282.10  1.42
 282.80  1.42
 283.50  1.42
 284.20  1.42
 284.90  1.42
 285.60  1.42
 286.30  1.42
 287.00  1.42
 287.70  1.42
 288.40  1.42
 289.10  1.42
 289.80  1.42
 290.50  1.42
 291.20  1.42
 291.90  1.42
 292.60  1.42
 293.30  1.42
 294.00  1.42
 294.70  1.42
 295.40  1.42
 296.10  1.42
 296.80  1.42
 297.50  1.42
 298.20  1.42
 298.90  1.42
 299.60  1.42
 300.30  1.42
 301.00  1.42
 301.70  1.42
 302.40  1.42
 303.10  1.42
 303.80  1.42
 304.50  1.42
 305.20  1.42
 305.90  1.42
 306.60  1.42
 307.30  1.42
 308.00  1.42
 308.70  1.42
 309.40  1.42
 310.10  1.42
 310.80  1.42
 311.50  1.42
 312.20  1.42
 312.90  1.42
 313.60  1.42
 314.30  1.42
 315.00  1.42
 315.70  1.42
 316.40  1.42
 317.10  1.42
 317.80  1.42
 318.50  1.42
 319.20  1.42
 319.90  1.42
 320.60  1.42
 321.30  1.42
 322.00  1.42
 322.70  1.42
 323.40  1.42
 324.10  1.42
 324.80  1.42
 325.50  1.42
 326.20  1.42
 326.90  1.42
 327.60  1.42
 328.30  1.42
 329.00  1.42
 329.70  1.42
 330.40  1.42
 331.10  1.42
 331.80  1.42
 332.50  1.42
 333.20  1.42
 333.90  1.42
 334.60  1.42
 335.30  1.42
 336.00  1.42
 336.70  1.42
 337.40  1.42
 338.10  1.42
 338.80  1.42
 339.50  1.42
 340.20  1.42
 340.90  1.42
 341.60  1.42
 342.30  1.42
 343.00  1.42
 343.70  1.42
 344.40  1.42
 345.10  1.42
 345.80  1.42
 346.50  1.42
 347.20  1.42
 347.90  1.42
 348.60  1.42
 349.30  1.42
 350.00  1.42
 350.70  1.42
 351.40  1.42
 352.10  1.42
 352.80  1.42
 353.50  1.42
 354.20  1.42
 354.90  1.42
 355.60  1.42
 356.30  1.42
 357.00  1.42
 357.70  1.42
 358.40  1.42
 359.10  1.42
 359.80  1.42
 360.50  1.42
 361.20  1.42
 361.90  1.42
 362.60  1.42
 363.30  1.42
 364.00  1.42
 364.70  1.42
 365.40  1.42
 366.10  1.42
 366.80  1.42
 367.50  1.42
 368.20  1.42
 368.90  1.42
 369.60  1.42
 370.30  1.42
 371.00  1.42
 371.70  1.42
 372.40  1.42
 373.10  1.42
 373.80  1.42
 374.50  1.42
 375.20  1.42
 375.90  1.42
 376.60  1.42
 377.30  1.42
 378.00  1.42
 378.70  1.42
 379.40  1.42
 380.10  1.42
 380.80  1.42
 381.50  1.42
 382.20  1.42
 382.90  1.42
 383.60  1.42
 384.30  1.42
 385.00  1.42
 385.70  1.42
 386.40  1.42
 387.10  1.42
 387.80  1.42
 388.50  1.42
 389.20  1.42
 389.90  1.42
 390.60  1.42
 391.30  1.42
 392.00  1.42
 392.70  1.42
 393.40  1.42
 394.10  1.42
 394.80  1.42
 395.50  1.42
 396.20  1.42
 396.90  1.42
 397.60  1.42
 398.30  1.42
 399.00  1.42
 399.70  1.42
 400.40  1.42
 401.10  1.42
 401.80  1.42
 402.50  1.42
 403.20  1.42
 403.90  1.42
 404.60  1.42
 405.30  1.42
 406.00  1.42
 406.70  1.42
 407.40  1.42
 408.10  1.42
 408.80  1.42
 409.50  1.42
 410.20  1.42
 410.90  1.42
 411.60  1.42
 412.30  1.42
 413.00  1.42
 413.70  1.42
 414.40  1.42
 415.10  1.42
 415.80  1.42
 416.50  1.42
 417.20  1.42
 417.90  1.42
 418.60  1.42
 419.30  1.42
 420.00  1.42
 420.70  1.42
 421.40  1.42
 422.10  1.42
 422.80  1.42
 423.50  1.42
 424.20  1.42
 424.90  1.42
 425.60  1.42
 426.30  1.42
 427.00  1.42
 427.70  1.42
 428.40  1.42
 429.10  1.42
 429.80  1.42
 430.50  1.42
 431.20  1.42
 431.90  1.42
 432.60  1.42
 433.30  1.42
 434.00  1.42
 434.70  1.42
 435.40  1.42
 436.10  1.42
 436.80  1.42
 437.50  1.42
