#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#velocidade no Sistema Solidário 
#
#temp           u           v           w dot                     roll   dot pitch     dot yaw 
 0.00        8.23000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        8.23000e+00        4.12179e-04        0.00000e+00        0.00000e+00        0.00000e+00        -9.01286e-06 
 1.40        8.23000e+00        8.42206e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.78848e-05 
 2.10        8.22727e+00        -6.45466e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.41333e-04 
 2.80        8.22455e+00        -1.40633e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.98000e-04 
 3.50        8.22182e+00        -2.19742e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.52217e-04 
 4.20        8.21910e+00        -3.01779e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.04077e-04 
 4.90        8.21637e+00        -3.86656e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.53671e-04 
 5.60        8.21364e+00        -4.74282e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.01085e-04 
 6.30        8.21090e+00        -5.64573e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.04640e-03 
 7.00        8.20814e+00        -6.57442e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.18969e-03 
 7.70        8.20538e+00        -7.52809e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33104e-03 
 8.40        8.20259e+00        -8.50593e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.47051e-03 
 9.10        8.19978e+00        -9.50713e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.60817e-03 
 9.80        8.19695e+00        -1.05309e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.74408e-03 
 10.50        8.19409e+00        -1.15766e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.87829e-03 
 11.20        8.19120e+00        -1.26434e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.01088e-03 
 11.90        8.18827e+00        -1.37305e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.14188e-03 
 12.60        8.18531e+00        -1.48373e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.27136e-03 
 13.30        8.18231e+00        -1.59631e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.39935e-03 
 14.00        8.17926e+00        -1.71071e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52590e-03 
 14.70        8.17617e+00        -1.82687e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.65105e-03 
 15.40        8.17303e+00        -1.94472e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.77484e-03 
 16.10        8.16983e+00        -2.06420e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.89732e-03 
 16.80        8.16658e+00        -2.18524e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.01850e-03 
 17.50        8.16327e+00        -2.30777e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.13843e-03 
 18.20        8.15989e+00        -2.43174e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.25713e-03 
 18.90        8.15645e+00        -2.55709e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.37463e-03 
 19.60        8.15293e+00        -2.68374e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.49097e-03 
 20.30        8.14935e+00        -2.81164e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.60615e-03 
 21.00        8.14569e+00        -2.94073e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.72021e-03 
 21.70        8.14195e+00        -3.07095e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.83316e-03 
 22.40        8.13813e+00        -3.20225e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.94502e-03 
 23.10        8.13422e+00        -3.33456e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.05582e-03 
 23.80        8.13023e+00        -3.46783e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.16556e-03 
 24.50        8.12614e+00        -3.60199e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.27425e-03 
 25.20        8.12196e+00        -3.73701e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.38192e-03 
 25.90        8.11769e+00        -3.87281e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.48858e-03 
 26.60        8.11331e+00        -4.00935e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.59423e-03 
 27.30        8.10883e+00        -4.14657e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.69888e-03 
 28.00        8.10425e+00        -4.28442e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.80254e-03 
 28.70        8.09955e+00        -4.42284e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.90522e-03 
 29.40        8.09475e+00        -4.56179e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.00692e-03 
 30.10        8.08984e+00        -4.70120e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.10765e-03 
 30.80        8.08480e+00        -4.84104e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.20741e-03 
 31.50        8.07965e+00        -4.98125e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.30620e-03 
 32.20        8.07438e+00        -5.12177e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.40404e-03 
 32.90        8.06899e+00        -5.26257e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.50091e-03 
 33.60        8.06347e+00        -5.40359e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.59682e-03 
 34.30        8.05783e+00        -5.54477e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.69177e-03 
 35.00        8.05205e+00        -5.68609e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.78577e-03 
 35.70        8.04614e+00        -5.82748e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.87880e-03 
 36.40        8.04010e+00        -5.96890e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.97087e-03 
