#Navio B MarAd
#Manobra de                         Curva de Zig-Zag
#
#velocidade Inercial
#
#temp           u           v           r
 0.00        8.23000e+00        0.00000e+00        0.00000e+00 
 0.70        8.23000e+00        4.12179e-04        0.00000e+00 
 1.40        8.23000e+00        7.90283e-04        0.00000e+00 
 2.10        8.22727e+00        -6.60957e-03        0.00000e+00 
 2.80        8.22455e+00        -1.34045e-02        0.00000e+00 
 3.50        8.22183e+00        -1.96005e-02        0.00000e+00 
 4.20        8.21912e+00        -2.52033e-02        0.00000e+00 
 4.90        8.21641e+00        -3.02182e-02        0.00000e+00 
 5.60        8.21370e+00        -3.46504e-02        0.00000e+00 
 6.30        8.21100e+00        -3.85045e-02        0.00000e+00 
 7.00        8.20830e+00        -4.17851e-02        0.00000e+00 
 7.70        8.20560e+00        -4.44963e-02        0.00000e+00 
 8.40        8.20290e+00        -4.66422e-02        0.00000e+00 
 9.10        8.20019e+00        -4.82264e-02        0.00000e+00 
 9.80        8.19748e+00        -4.92525e-02        0.00000e+00 
 10.50        8.19476e+00        -4.97239e-02        0.00000e+00 
 11.20        8.19202e+00        -4.96436e-02        0.00000e+00 
 11.90        8.18928e+00        -4.90146e-02        0.00000e+00 
 12.60        8.18652e+00        -4.78397e-02        0.00000e+00 
 13.30        8.18374e+00        -4.61216e-02        0.00000e+00 
 14.00        8.18093e+00        -4.38627e-02        0.00000e+00 
 14.70        8.17811e+00        -4.10656e-02        0.00000e+00 
 15.40        8.17525e+00        -3.77325e-02        0.00000e+00 
 16.10        8.17237e+00        -3.38655e-02        0.00000e+00 
 16.80        8.16945e+00        -2.94669e-02        0.00000e+00 
 17.50        8.16649e+00        -2.45386e-02        0.00000e+00 
 18.20        8.16349e+00        -1.90826e-02        0.00000e+00 
 18.90        8.16044e+00        -1.31009e-02        0.00000e+00 
 19.60        8.15735e+00        -6.59530e-03        0.00000e+00 
 20.30        8.15420e+00        4.32256e-04        0.00000e+00 
 21.00        8.15099e+00        7.97995e-03        0.00000e+00 
 21.70        8.14772e+00        1.60459e-02        0.00000e+00 
 22.40        8.14439e+00        2.46284e-02        0.00000e+00 
 23.10        8.14098e+00        3.37255e-02        0.00000e+00 
 23.80        8.13750e+00        4.33353e-02        0.00000e+00 
 24.50        8.13395e+00        5.34559e-02        0.00000e+00 
 25.20        8.13030e+00        6.40854e-02        0.00000e+00 
 25.90        8.12657e+00        7.52219e-02        0.00000e+00 
 26.60        8.12275e+00        8.68632e-02        0.00000e+00 
 27.30        8.11882e+00        9.90073e-02        0.00000e+00 
 28.00        8.11480e+00        1.11652e-01        0.00000e+00 
 28.70        8.11066e+00        1.24795e-01        0.00000e+00 
 29.40        8.10641e+00        1.38434e-01        0.00000e+00 
 30.10        8.10205e+00        1.52567e-01        0.00000e+00 
 30.80        8.09756e+00        1.67191e-01        0.00000e+00 
 31.50        8.09294e+00        1.82303e-01        0.00000e+00 
 32.20        8.08819e+00        1.97901e-01        0.00000e+00 
 32.90        8.08330e+00        2.13982e-01        0.00000e+00 
 33.60        8.07827e+00        2.30543e-01        0.00000e+00 
 34.30        8.07309e+00        2.47580e-01        0.00000e+00 
 35.00        8.06775e+00        2.65092e-01        0.00000e+00 
 35.70        8.06225e+00        2.83073e-01        0.00000e+00 
